date,traf,hour,is_weekday,day,region,lower,upper,region2,predict,tech,kpi
2023-05-29 23:00:00,1021.186,23,1,29,Absheron,1067.374768425962,1116.6545515740386,0,1092.0146600000005,2G,cs traf
2023-05-30 00:00:00,539.665,0,1,30,Absheron,564.8648884220131,604.4857715779883,0,584.6753300000007,2G,cs traf
2023-05-30 01:00:00,275.999,1,1,30,Absheron,294.80932273912407,315.729777260875,0,305.2695499999995,2G,cs traf
2023-05-30 02:00:00,138.69400000000002,2,1,30,Absheron,155.68983732849236,171.26786267150763,0,163.47885,2G,cs traf
2023-05-30 03:00:00,81.346,3,1,30,Absheron,93.05721383462502,105.15184616537488,0,99.10452999999995,2G,cs traf
2023-05-30 04:00:00,62.887,4,1,30,Absheron,69.09464359786847,73.54061640213166,0,71.31763000000007,2G,cs traf
2023-05-30 05:00:00,79.779,5,1,30,Absheron,81.5831393249019,87.33864067509826,0,84.46089000000008,2G,cs traf
2023-05-30 06:00:00,208.857,6,1,30,Absheron,164.82576520535096,177.75611479464894,0,171.29093999999995,2G,cs traf
2023-05-30 07:00:00,493.917,7,1,30,Absheron,395.4286735971832,430.3472064028173,0,412.8879400000002,2G,cs traf
2023-05-30 08:00:00,1001.7719999999999,8,1,30,Absheron,783.3003852538908,850.6765747461073,0,816.9884799999991,2G,cs traf
2023-05-30 09:00:00,,9,1,30,Absheron,1441.444097998444,1530.65102200156,0,1486.047560000002,2G,cs traf
2023-05-30 10:00:00,,10,1,30,Absheron,1969.44591871273,2056.5861212872737,0,2013.0160200000016,2G,cs traf
2023-05-30 11:00:00,,11,1,30,Absheron,2110.7107412475307,2196.2400587524744,0,2153.4754000000025,2G,cs traf
2023-05-30 12:00:00,,12,1,30,Absheron,2080.7549338932417,2166.2706061067606,0,2123.512770000001,2G,cs traf
2023-05-30 13:00:00,,13,1,30,Absheron,1970.2226681913987,2046.573111808602,0,2008.3978900000004,2G,cs traf
2023-05-30 14:00:00,,14,1,30,Absheron,1865.011965766781,1952.2958342332183,0,1908.6539,2G,cs traf
