UserLabel,hwNetDevice,hwEventType,LocalDn,variable,value,up_threshold,down_threshold,status,Date,period,file
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall10,76856.0,77463.0,77463.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall10,2595.0,2573.0,2573.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCall10,974.0,1065.0,1065.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall10,44463.0,43424.0,43424.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineAuthService,NE=210200f,hwServiceCall10,977.0,917.0,917.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall30,260917.0,257255.0,257255.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall30,2881.0,2559.0,2559.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCall30,1613.0,3441.0,3441.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall30,71566.0,70424.0,70424.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineAuthService,NE=210200f,hwServiceCall30,24.0,41.0,41.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall50,5938.0,6095.0,6095.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall50,70.0,74.0,74.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCall50,38.0,145.0,145.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall50,1487.0,2140.0,2140.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineAuthService,NE=210200f,hwServiceCall50,8.0,5.0,5.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall100,1328.0,1538.0,1538.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall100,11.0,3.0,3.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCall100,4.0,21.0,21.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall100,203.0,315.0,315.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineAuthService,NE=210200f,hwServiceCall100,0.0,1.0,1.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall200,67.0,43.0,43.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall200,0.0,2.0,2.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCall200,4.0,1.0,1.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall200,11.0,18.0,18.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCall1000,165.0,187.0,187.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCall1000,1.0,0.0,0.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCall1000,13.0,15.0,15.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineGPRSService,NE=210200f,hwServiceCallTotal,345261.0,342568.0,342568.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineIECService,NE=210200f,hwServiceCallTotal,5558.0,5210.0,5210.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,ECUROnlineService,NE=210200f,hwServiceCallTotal,2633.0,4673.0,4673.0,2,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineVoiceService,NE=210200f,hwServiceCallTotal,117741.0,116332.0,116332.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
cbpadpt1b,,OnlineAuthService,NE=210200f,hwServiceCallTotal,1009.0,964.0,964.0,1,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber
