UserLabel,hwNetDevice,hwEventType,LocalDn,variable,value,up_threshold,down_threshold,status,Date,period,file,c_days
cbpadpt1b,None,OnlineGPRSService,NE=210200f,hwServiceCall10,76856.0,77463.0,77463.0,2.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineIECService,NE=210200f,hwServiceCall10,2595.0,2573.0,2573.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,ECUROnlineService,NE=210200f,hwServiceCall10,974.0,1065.0,1065.0,2.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineVoiceService,NE=210200f,hwServiceCall10,44463.0,43424.0,43424.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineAuthService,NE=210200f,hwServiceCall10,977.0,917.0,917.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineGPRSService,NE=210200f,hwServiceCall30,260917.0,257255.0,257255.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineIECService,NE=210200f,hwServiceCall30,2881.0,2559.0,2559.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,ECUROnlineService,NE=210200f,hwServiceCall30,1613.0,3441.0,3441.0,2.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineVoiceService,NE=210200f,hwServiceCall30,71566.0,70424.0,70424.0,1.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineAuthService,NE=210200f,hwServiceCall30,24.0,41.0,41.0,2.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
cbpadpt1b,None,OnlineGPRSService,NE=210200f,hwServiceCall50,5938.0,6095.0,6095.0,2.0,2023-05-24 17:10:00,5M,hwBillingDCCSeviceCallNumber,2.0
