Date,tech,Site_name,Vendor,NE,Region,variable,value,threshold,status,delta
2023-05-30 08:00:00,2G,GABS0027,Nokia,ASBSC21,Absheron,Call Drop Rate,2.3255813953488373,1.8191922857621758,-1.0,-0.5063891095866615
2023-05-30 08:00:00,2G,GABS0637,Nokia,mcBSC16,Baku,Call Drop Rate,20.0,0.0,-1.0,-20.0
2023-05-30 08:00:00,2G,GABS0901,Nokia,ASBSC21,Absheron,Call Drop Rate,11.76470588235294,7.6007027356319234,-1.0,-4.164003146721017
2023-05-30 08:00:00,2G,GABS1791,Nokia,ASBSC21,Absheron,Call Drop Rate,4.081632653061225,0.0,-1.0,-4.081632653061225
2023-05-30 08:00:00,2G,GABS2229,Nokia,ASBSC21,Absheron,Call Drop Rate,2.247191011235955,2.150611323011094,-1.0,-0.0965796882248613
2023-05-30 08:00:00,2G,GABS2863,Nokia,ASBSC21,Absheron,Call Drop Rate,1.834862385321101,1.4572271330453013,-1.0,-0.37763525227579975
2023-05-30 08:00:00,2G,GABS3237,Nokia,ASBSC21,Absheron,Call Drop Rate,3.225806451612903,1.9252733565763511,-1.0,-1.300533095036552
2023-05-30 08:00:00,2G,GABS3239,Nokia,ASBSC21,Absheron,Call Drop Rate,0.8403361344537815,0.6372661147789142,-1.0,-0.20307001967486737
2023-05-30 08:00:00,2G,GABS3243,Nokia,ASBSC21,Absheron,Call Drop Rate,3.1746031746031744,2.1554179761988173,-1.0,-1.0191851984043572
2023-05-30 08:00:00,2G,GABS4057,Nokia,ASBSC21,Absheron,Call Drop Rate,1.7391304347826086,1.4382642770845269,-1.0,-0.3008661576980818
2023-05-30 08:00:00,2G,GABS4465,Nokia,ASBSC21,Absheron,Call Drop Rate,0.8771929824561403,0.5707269916116631,-1.0,-0.30646599084447723
2023-05-30 08:00:00,2G,GABS4495,Nokia,ASBSC21,Absheron,Call Drop Rate,3.4482758620689653,3.289683601831214,-1.0,-0.15859226023775141
2023-05-30 08:00:00,2G,GABS5351,Nokia,ASBSC21,Absheron,Call Drop Rate,0.5797101449275363,0.5200475646644872,-1.0,-0.05966258026304905
2023-05-30 08:00:00,2G,GABS5385,Nokia,ASBSC21,Absheron,Call Drop Rate,2.247191011235955,0.0,-1.0,-2.247191011235955
2023-05-30 08:00:00,2G,GABS5390,Nokia,ASBSC21,Absheron,Call Drop Rate,1.875,1.5218681157007343,-1.0,-0.3531318842992657
2023-05-30 08:00:00,2G,GABS5607,Nokia,ASBSC21,Absheron,Call Drop Rate,4.166666666666666,3.3297754360948355,-1.0,-0.8368912305718306
2023-05-30 08:00:00,2G,GABS5721,Nokia,ASBSC21,Absheron,Call Drop Rate,1.1235955056179776,0.9191708391219416,-1.0,-0.20442466649603597
2023-05-30 08:00:00,2G,GBBK0073,Nokia,ASBSC22,Baku,Call Drop Rate,7.142857142857142,0.0,-1.0,-7.142857142857142
2023-05-30 08:00:00,2G,GBBK0093,Nokia,ASBSC21,Baku,Call Drop Rate,4.25531914893617,2.4255897143495684,-1.0,-1.8297294345866018
2023-05-30 08:00:00,2G,GBBK0255,Nokia,ASBSC22,Baku,Call Drop Rate,25.0,0.0,-1.0,-25.0
2023-05-30 08:00:00,2G,GBBK0283,Nokia,ASBSC22,Baku,Call Drop Rate,7.142857142857142,6.994766888627121,-1.0,-0.14809025423002176
2023-05-30 08:00:00,2G,GBBK0285,Nokia,ASBSC22,Baku,Call Drop Rate,1.5384615384615385,0.0,-1.0,-1.5384615384615385
2023-05-30 08:00:00,2G,GBBK0361,Nokia,ASBSC21,Baku,Call Drop Rate,5.405405405405405,5.015408398606953,-1.0,-0.3899970067984526
2023-05-30 08:00:00,2G,GBBK0378,Nokia,ASBSC22,Baku,Call Drop Rate,7.6923076923076925,0.0,-1.0,-7.6923076923076925
2023-05-30 08:00:00,2G,GBBK0733,Nokia,ASBSC22,Baku,Call Drop Rate,4.25531914893617,2.494834168361152,-1.0,-1.760484980575018
2023-05-30 08:00:00,2G,GBBK1039,Nokia,ASBSC22,Baku,Call Drop Rate,3.571428571428571,3.1186153470208735,-1.0,-0.45281322440769767
2023-05-30 08:00:00,2G,GBBK1179,Nokia,ASBSC22,Baku,Call Drop Rate,6.666666666666667,0.0,-1.0,-6.666666666666667
2023-05-30 08:00:00,2G,GBBK1546,Nokia,ASBSC22,Baku,Call Drop Rate,3.9215686274509802,3.5602300425429743,-1.0,-0.36133858490800597
2023-05-30 08:00:00,2G,GBBK2018,Nokia,ASBSC21,Absheron,Call Drop Rate,2.857142857142857,0.0,-1.0,-2.857142857142857
2023-05-30 08:00:00,2G,GBBK2239,Nokia,ASBSC22,Baku,Call Drop Rate,9.090909090909092,0.0,-1.0,-9.090909090909092
2023-05-30 08:00:00,2G,GBBK2327,Nokia,ASBSC21,Absheron,Call Drop Rate,3.225806451612903,2.6460978701995286,-1.0,-0.5797085814133744
2023-05-30 08:00:00,2G,GBBK2443,Nokia,ASBSC22,Baku,Call Drop Rate,2.5,0.7337918463578526,-1.0,-1.7662081536421474
2023-05-30 08:00:00,2G,GBBK2463,Nokia,ASBSC22,Baku,Call Drop Rate,7.142857142857142,0.0,-1.0,-7.142857142857142
2023-05-30 08:00:00,2G,GBBK2601,Nokia,ASBSC22,Baku,Call Drop Rate,12.5,0.0,-1.0,-12.5
2023-05-30 08:00:00,2G,GBBK2704,Nokia,ASBSC22,Baku,Call Drop Rate,2.941176470588235,0.0,-1.0,-2.941176470588235
2023-05-30 08:00:00,2G,GBBK3059,Nokia,ASBSC22,Baku,Call Drop Rate,8.333333333333332,0.0,-1.0,-8.333333333333332
2023-05-30 08:00:00,2G,GBBK3065,Nokia,ASBSC21,Baku,Call Drop Rate,2.127659574468085,0.0,-1.0,-2.127659574468085
2023-05-30 08:00:00,2G,GBBK3169,Nokia,ASBSC22,Baku,Call Drop Rate,9.090909090909092,0.0,-1.0,-9.090909090909092
2023-05-30 08:00:00,2G,GBBK3595,Nokia,ASBSC22,Baku,Call Drop Rate,1.5625,0.0,-1.0,-1.5625
2023-05-30 08:00:00,2G,GBBK3667,Nokia,ASBSC22,Baku,Call Drop Rate,6.666666666666667,0.0,-1.0,-6.666666666666667
2023-05-30 08:00:00,2G,GBBK3835,Nokia,ASBSC21,Baku,Call Drop Rate,4.545454545454546,2.771400441097827,-1.0,-1.7740541043567188
2023-05-30 08:00:00,2G,GBBK3967,Nokia,ASBSC22,Baku,Call Drop Rate,1.9801980198019802,1.5178963853598584,-1.0,-0.4623016344421218
2023-05-30 08:00:00,2G,GBBK4029,Nokia,ASBSC22,Baku,Call Drop Rate,2.9850746268656714,2.879913129304394,-1.0,-0.10516149756127735
2023-05-30 08:00:00,2G,GBBK4245,Nokia,ASBSC22,Baku,Call Drop Rate,2.0408163265306123,0.0,-1.0,-2.0408163265306123
2023-05-30 08:00:00,2G,GBBK4293,Nokia,ASBSC22,Baku,Call Drop Rate,16.666666666666664,14.077890531726096,-1.0,-2.5887761349405682
2023-05-30 08:00:00,2G,GBBK4921,Nokia,ASBSC22,Baku,Call Drop Rate,5.88235294117647,3.4832803640901098,-1.0,-2.3990725770863603
2023-05-30 08:00:00,2G,GBBK5049,Nokia,ASBSC21,Absheron,Call Drop Rate,100.0,24.886078116059547,-1.0,-75.11392188394045
2023-05-30 08:00:00,2G,GBBK5065,Nokia,ASBSC22,Baku,Call Drop Rate,15.384615384615385,0.0,-1.0,-15.384615384615385
2023-05-30 08:00:00,2G,GBBK5245,Nokia,ASBSC22,Baku,Call Drop Rate,1.7241379310344827,0.0,-1.0,-1.7241379310344827
2023-05-30 08:00:00,2G,GBBK5299,Nokia,ASBSC22,Absheron,Call Drop Rate,1.694915254237288,0.9389379539417684,-1.0,-0.7559773002955197
2023-05-30 08:00:00,2G,GBBK5405,Nokia,ASBSC22,Baku,Call Drop Rate,4.761904761904762,3.6383845715243517,-1.0,-1.1235201903804102
2023-05-30 08:00:00,2G,GBBK5477,Nokia,ASBSC22,Baku,Call Drop Rate,4.166666666666666,0.0,-1.0,-4.166666666666666
2023-05-30 08:00:00,2G,GBBK5479,Nokia,ASBSC22,Baku,Call Drop Rate,2.564102564102564,1.7464245943316892,-1.0,-0.8176779697708747
2023-05-30 08:00:00,2G,GBBK5491,Nokia,ASBSC22,Baku,Call Drop Rate,2.2988505747126435,2.2155870568293516,-1.0,-0.0832635178832919
2023-05-30 08:00:00,2G,GBBK5581,Nokia,ASBSC21,Baku,Call Drop Rate,1.8604651162790697,1.3664417424999145,-1.0,-0.4940233737791553
2023-05-30 08:00:00,2G,GBBK5761,Nokia,ASBSC22,Baku,Call Drop Rate,8.695652173913043,0.0,-1.0,-8.695652173913043
2023-05-30 08:00:00,2G,GBBK5773,Nokia,mcBSC16,Baku,Call Drop Rate,2.3255813953488373,1.8894862347717278,-1.0,-0.4360951605771095
2023-05-30 08:00:00,2G,GGNJ1215,Huawei,HBSC08,Ganja,Call Drop Rate,0.4464285714285714,0.0,-1.0,-0.4464285714285714
2023-05-30 08:00:00,2G,GGNJ1429,Huawei,HBSC08,Ganja,Call Drop Rate,0.3436426116838488,0.31410514286541175,-1.0,-0.02953746881843705
2023-05-30 08:00:00,2G,GGNJ1507,Huawei,HBSC06,Ganja,Call Drop Rate,0.8264462809917356,0.7527692216946936,-1.0,-0.07367705929704194
2023-05-30 08:00:00,2G,GGNJ1671,Huawei,HBSC02,Ganja,Call Drop Rate,1.0050251256281406,0.8082128614903016,-1.0,-0.19681226413783903
2023-05-30 08:00:00,2G,GGNJ1741,Huawei,HBSC08,Ganja,Call Drop Rate,0.8213552361396305,0.5320900919633873,-1.0,-0.28926514417624316
2023-05-30 08:00:00,2G,GGNJ3307,Huawei,HBSC01,Ganja,Call Drop Rate,0.6185567010309279,0.39108663825035117,-1.0,-0.2274700627805767
2023-05-30 08:00:00,2G,GGNJ3329,Huawei,HBSC01,Ganja,Call Drop Rate,0.3003003003003003,0.2662232613310501,-1.0,-0.034077038969250184
