file,DeviceName,ResourceName,CollectionTime,variable,value,Q1,Q3,status,delta
IG30014,HBK0093-RTN1693 GE_1/1,HBK0093-RTN1693 GE_1/1-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,4010.0,568.6666666666666,140.869916353114,-1,605.16
IG30014,BBK3917-RTN1402,BBK3917-RTN1402-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,9819.0,711.9166666666666,824.7017596830035,-1,1279.23
IG30014,BBK5015-RTN1574_FIX_GE_1/1,BBK5015-RTN1574_FIX_GE_1/1-6-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,10157.0,2213.076923076923,1752.62486295739,-1,358.95
IG30014,BBK3387-RTN1071,BBK3387-RTN1071-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,2367.0,623.1666666666666,419.677329154269,-1,279.83
IG30014,BBK7024-RTN2501_OTN_GE3_1/1,BBK7024-RTN2501_OTN_GE3_1/1-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,1306.0,313.42857142857144,324.62278475324615,-1,316.68
IG30014,BBK7024-RTN2503_GE4_1/1,BBK7024-RTN2503_GE4_1/1-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,13679.0,3291.0,3005.731403955994,-1,315.65
IG30014,ABS5741-RTN1902,ABS5741-RTN1902-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,2031.0,347.3333333333333,301.9011979660454,-1,484.74
IG30014,BBK3063-RTN1280,BBK3063-RTN1280-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,4486.0,474.6666666666667,509.19374177877194,-1,845.08
IG30014,BBK5175-RTN1179_FIX_Cisco_1GE_1/2,BBK5175-RTN1179_FIX_Cisco_1GE_1/2-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,2694.0,482.09090909090907,350.14295781736195,-1,458.82
IG30014,HBK0082-RTN1386_GB_1/1,HBK0082-RTN1386_GB_1/1-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,4074.0,461.75,591.6958074648059,-1,782.3
IG30014,BBK2539-RTN100_GB_1/1,BBK2539-RTN100_GB_1/1-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,4664.0,199.83333333333334,119.02506738778462,-1,2233.94
IG30014,BBK2995-RTN53,BBK2995-RTN53-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,1422.0,388.09090909090907,148.86736011997698,-1,266.41
IG30014,ABS5503-RTN2951_OTN_1G_1/2,ABS5503-RTN2951_OTN_1G_1/2-6-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,12170.0,694.0,845.6997102991108,-1,1653.6
IG30014,BBK3883-RTN2701_GE1 1/1,BBK3883-RTN2701_GE1 1/1-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,574.0,112.0,25.45584412271571,-1,412.5
IG30014,ABS7030-RTN2914_OTN_1G_1/2,ABS7030-RTN2914_OTN_1G_1/2-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,2190.0,527.0,228.13529820199741,-1,315.56
IG30014,BBK7020-RTN2209,BBK7020-RTN2209-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,5800.0,542.0,813.9895576725785,-1,970.11
IG30014,BBK7020-RTN2209,BBK7020-RTN2209-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,8370.0,1581.923076923077,875.5655754557033,-1,429.1
IG30014,ABS4648-RTN562,ABS4648-RTN562-5-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,6049.0,275.5,232.04309944490916,-1,2095.64
IG30014,ABS3025-RTN515,ABS3025-RTN515-3-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,7253.0,608.8333333333334,495.03996471665465,-1,1091.29
IG30014,ABS5509-RTN522_GB_1/1,ABS5509-RTN522_GB_1/1-4-ISU2-1(RTNIF-1),2023-05-30 09:30:00,TX_DROP_PKTS,3788.0,841.0,546.0203496411303,-1,350.42
