file,Date,RNC_name,NE,variable,value,Q1,Q3,status,delta
site_3g,2023-05-30 08:00:00,ARNC21,UBBK0307,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),684.0,83.2,193.30627068389242,1,87.84
site_3g,2023-05-30 08:00:00,ARNC21,UBBK2560,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),522.0,34.8,134.7798204480181,1,93.33
site_3g,2023-05-30 08:00:00,ARNC21,UBBK3906,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),624.0,41.6,161.11610720222853,1,93.33
site_3g,2023-05-30 08:00:00,ARNC21,UBBK5577,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),3276.0,404.0,834.7386246176533,1,87.67
site_3g,2023-05-30 08:00:00,mcRNC08,UABS5633,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),2160.0,234.0,564.0227958918986,1,89.17
site_3g,2023-05-30 08:00:00,mcRNC08,UBBK1130,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),3294.0,252.0,850.8009671564117,1,92.35
site_3g,2023-05-30 08:00:00,mcRNC08,UBBK1289,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),6760.0,919.3333333333334,1779.0867105932537,1,86.4
site_3g,2023-05-30 08:00:00,mcRNC08,UBBK2955,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),654.0,55.6,171.91060799978905,1,91.5
site_3g,2023-05-30 08:00:00,mcRNC08,UBBK2975,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),1272.0,140.0,348.3151282551887,1,88.99
site_3g,2023-05-30 08:00:00,mcRNC08,UNCV4755,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),10740.0,994.6666666666666,2829.3456756608857,1,90.74
site_3g,2023-05-30 08:00:00,mcRNC09,UABS0414,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),1296.0,150.4,351.6127740244129,1,88.4
site_3g,2023-05-30 08:00:00,mcRNC09,UABS2068,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),552.0,36.8,142.52578714043295,1,93.33
site_3g,2023-05-30 08:00:00,mcRNC09,UABS3031,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),1224.0,152.0,355.128950423042,1,87.58
site_3g,2023-05-30 08:00:00,mcRNC09,UABS4007,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),558.0,56.4,157.3425743855925,1,89.89
site_3g,2023-05-30 08:00:00,mcRNC09,UBBK4558,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),594.0,39.6,153.3701405098137,1,93.33
site_3g,2023-05-30 08:00:00,mcRNC09,UBBK5187,HS_DSCH_CREDIT_RDCT_FRM_LOSS (M5000C178),504.0,33.6,130.1322404325692,1,93.33
site_3g,2023-05-30 08:00:00,HRNC02,ULNK4429,Frame_error_huawei,1487.0,50.6,267.6402724483773,1,96.6
site_3g,2023-05-30 08:00:00,HRNC02,ULNK4427,Frame_error_huawei,1501.0,50.03333333333333,270.18931703364245,1,96.67
site_4g,2023-05-30 08:00:00,none,LGNJ1415O,IPPM_lost,83192.0,541.1275167785235,6456.879800086208,1,99.35
site_4g,2023-05-30 08:00:00,none,LGNJ2798O,IPPM_lost,7645.0,43.002237136465325,537.397025275776,1,99.44
site_4g,2023-05-30 08:00:00,none,LGNJ1667O,IPPM_lost,33558.0,309.44071588366893,3437.874053086528,1,99.08
site_4g,2023-05-30 08:00:00,none,LGNJ6083O,IPPM_lost,1266.0,13.639821029082775,160.85114843646946,1,98.92
cell_4g,2023-05-30 08:00:00,none,LQRB3070O1,DL_PRB_Utilzation,97.93,94.00160000000001,13.852005779463337,2,4.01
cell_4g,2023-05-30 08:00:00,none,LQRB6289O1,DL_PRB_Utilzation,92.466,88.07825,10.25325233070672,2,4.75
