,0
0,0
1,2332
2,TEST
3,UABS0003
4,UABS0006
5,UABS0008
6,UABS0027
7,UABS0028
8,UABS0037
9,UABS0040
10,UABS0046
11,UABS0047
12,UABS0050
13,UABS0068
14,UABS0075
15,UABS0129
16,UABS0139
17,UABS0147
18,UABS0150
19,UABS0156
20,UABS0157
21,UABS0165
22,UABS0204
23,UABS0243
24,UABS0254
25,UABS0289
26,UABS0294
27,UABS0298
28,UABS0311
29,UABS0312
30,UABS0313
31,UABS0320
32,UABS0322
33,UABS0325
34,UABS0341
35,UABS0342
36,UABS0352
37,UABS0372
38,UABS0393
39,UABS0404
40,UABS0414
41,UABS0427
42,UABS0439
43,UABS0464
44,UABS0465
45,UABS0505
46,UABS0559
47,UABS0596
48,UABS0601
49,UABS0612
50,UABS0618
51,UABS0628
52,UABS0637
53,UABS0658
54,UABS0660
55,UABS0668
56,UABS0703
57,UABS0704
58,UABS0716
59,UABS0767
60,UABS0777
61,UABS0885
62,UABS0901
63,UABS0912
64,UABS0961
65,UABS0983
66,UABS0987
67,UABS1099
68,UABS1203
69,UABS1253
70,UABS1255
71,UABS1266
72,UABS1279
73,UABS1285
74,UABS1287
75,UABS1296
76,UABS1326
77,UABS1390
78,UABS1405
79,UABS1428
80,UABS1631
81,UABS1778
82,UABS1785
83,UABS1787
84,UABS1789
85,UABS1791
86,UABS1793
87,UABS1799
88,UABS1815
89,UABS1827
90,UABS1829
91,UABS1891
92,UABS1893
93,UABS1895
94,UABS1897
95,UABS1899
96,UABS2040
97,UABS2068
98,UABS2089
99,UABS2090
100,UABS2099
101,UABS2127
102,UABS2133
103,UABS2135
104,UABS2137
105,UABS2139
106,UABS2145
107,UABS2192
108,UABS2225
109,UABS2229
110,UABS2235
111,UABS2280
112,UABS2369
113,UABS2404
114,UABS2612
115,UABS2635
116,UABS2653
117,UABS2757
118,UABS2795
119,UABS2857
120,UABS2861
121,UABS2863
122,UABS2887
123,UABS2997
124,UABS3015
125,UABS3019
126,UABS3023
127,UABS3025
128,UABS3031
129,UABS3039
130,UABS3043
131,UABS3044
132,UABS3045
133,UABS3046
134,UABS3047
135,UABS3049
136,UABS3054
137,UABS3170
138,UABS3172
139,UABS3186
140,UABS3210
141,UABS3237
142,UABS3239
143,UABS3240
144,UABS3243
145,UABS3250
146,UABS3353
147,UABS3420
148,UABS3424
149,UABS3434
150,UABS3493
151,UABS3522
152,UABS3577
153,UABS3581
154,UABS3585
155,UABS3587
156,UABS3589
157,UABS3591
158,UABS3593
159,UABS3602
160,UABS3614
161,UABS3702
162,UABS3709
163,UABS3717
164,UABS3718
165,UABS3719
166,UABS3721
167,UABS3723
168,UABS3768
169,UABS3802
170,UABS3833
171,UABS3893
172,UABS3902
173,UABS4007
174,UABS4033
175,UABS4039
176,UABS4041
177,UABS4043
178,UABS4049
179,UABS4050
180,UABS4057
181,UABS4058
182,UABS4067
183,UABS4130
184,UABS4133
185,UABS4155
186,UABS4165
187,UABS4265
188,UABS4308
189,UABS4337
190,UABS4351
191,UABS4391
192,UABS4393
193,UABS4395
194,UABS4397
195,UABS4417
196,UABS4435
197,UABS4453
198,UABS4455
199,UABS4465
200,UABS4467
201,UABS4469
202,UABS4495
203,UABS4503
204,UABS4515
205,UABS4533
206,UABS4541
207,UABS4622
208,UABS4632
209,UABS4634
210,UABS4636
211,UABS4638
212,UABS4648
213,UABS4670
214,UABS4672
215,UABS4674
216,UABS4676
217,UABS4682
