,BSCName,NODEBNAME,CELLID,CELLNAME,LAC,SAC,RAC,LOCELL,MAXTXPOWER,PCPICHPOWER,UARFCNDOWNLINK
1,HRNC03,USHK0015,151,USHK0015A,1532,151,0,1,460,330,10588
2,HRNC03,USHK0015,152,USHK0015B,1532,152,0,2,460,330,10588
3,HRNC03,USHK0015,153,USHK0015C,1532,153,0,3,460,330,10588
4,HRNC03,USHK0015,154,USHK0015D,1532,154,0,4,460,330,10563
5,HRNC03,USHK0015,155,USHK0015E,1532,155,0,5,460,330,10563
6,HRNC03,USHK0015,156,USHK0015F,1532,156,0,6,460,330,10563
7,HRNC03,USHK0035,351,USHK0035A,1532,351,0,1,460,330,10588
8,HRNC03,USHK0035,352,USHK0035B,1532,352,0,2,460,330,10588
9,HRNC03,USHK0035,353,USHK0035C,1532,353,0,3,460,330,10588
10,HRNC03,USHK0035,354,USHK0035D,1532,354,0,4,460,330,10563
11,HRNC03,USHK0035,355,USHK0035E,1532,355,0,5,460,330,10563
12,HRNC03,USHK0035,356,USHK0035F,1532,356,0,6,460,330,10563
13,HRNC03,USHK0043,431,USHK0043A,1532,431,0,1,460,330,10588
14,HRNC03,USHK0043,432,USHK0043B,1532,432,0,2,460,330,10588
15,HRNC03,USHK0043,433,USHK0043C,1532,433,0,3,460,330,10588
16,HRNC03,USHK0043,434,USHK0043D,1532,434,0,4,460,330,10563
17,HRNC03,USHK0043,435,USHK0043E,1532,435,0,5,460,330,10563
18,HRNC03,USHK0043,436,USHK0043F,1532,436,0,6,460,330,10563
19,HRNC03,USHK0053,531,USHK0053A,1532,531,0,1,430,330,10588
20,HRNC03,USHK0053,532,USHK0053B,1532,532,0,2,430,330,10588
21,HRNC03,USHK0053,533,USHK0053C,1532,533,0,3,430,330,10588
22,HRNC03,USHK0053,534,USHK0053D,1532,534,0,4,430,330,10563
23,HRNC03,USHK0053,535,USHK0053E,1532,535,0,5,430,330,10563
24,HRNC03,USHK0053,536,USHK0053F,1532,536,0,6,430,330,10563
25,HRNC03,USHK0053,537,USHK0053G,1532,537,0,7,430,330,10613
26,HRNC03,USHK0053,538,USHK0053H,1532,538,0,8,430,330,10613
27,HRNC03,USHK0057,571,USHK0057A,1532,571,0,1,447,330,10588
28,HRNC03,USHK0057,572,USHK0057B,1532,572,0,2,447,330,10588
29,HRNC03,USHK0057,573,USHK0057C,1532,573,0,3,447,330,10588
30,HRNC03,USHK0057,574,USHK0057D,1532,574,0,4,447,330,10563
31,HRNC03,USHK0057,575,USHK0057E,1532,575,0,5,447,330,10563
32,HRNC03,USHK0057,576,USHK0057F,1532,576,0,6,447,330,10563
33,HRNC03,USHK0057,577,USHK0057G,1532,577,0,7,447,330,10613
34,HRNC03,USHK0057,578,USHK0057H,1532,578,0,8,447,330,10613
35,HRNC03,USHK0057,579,USHK0057I,1532,579,0,9,447,330,10613
36,HRNC03,USHK0063,631,USHK0063A,1532,631,0,1,460,330,10588
37,HRNC03,USHK0063,632,USHK0063B,1532,632,0,2,460,360,10588
38,HRNC03,USHK0063,633,USHK0063C,1532,633,0,3,460,330,10588
39,HRNC03,USHK0063,634,USHK0063D,1532,634,0,4,460,330,10563
40,HRNC03,USHK0063,635,USHK0063E,1532,635,0,5,460,360,10563
41,HRNC03,USHK0063,636,USHK0063F,1532,636,0,6,460,330,10563
42,HRNC03,USHK2005,651,USHK2005J,1532,651,0,11,447,330,10638
43,HRNC03,USHK2005,652,USHK2005K,1532,652,0,12,447,330,10638
44,HRNC03,USHK2005,653,USHK2005L,1532,653,0,13,447,330,10638
45,HRNC03,USHK0085,851,USHK0085A,1532,851,0,1,430,330,10588
46,HRNC03,USHK0085,852,USHK0085B,1532,852,0,2,430,330,10588
47,HRNC03,USHK0085,853,USHK0085C,1532,853,0,3,430,330,10588
48,HRNC03,USHK0085,854,USHK0085D,1532,854,0,4,430,330,10563
49,HRNC03,USHK0085,855,USHK0085E,1532,855,0,5,430,330,10563
50,HRNC03,USHK0085,856,USHK0085F,1532,856,0,6,430,330,10563
51,HRNC03,USHK0085,857,USHK0085G,1532,857,0,7,430,330,10613
52,HRNC03,USHK0085,858,USHK0085H,1532,858,0,8,430,330,10613
53,HRNC03,USHK0085,859,USHK0085I,1532,859,0,9,430,330,10613
54,HRNC03,USHK0109,1091,USHK0109A,1532,1091,0,1,460,330,10588
55,HRNC03,USHK0109,1092,USHK0109B,1532,1092,0,2,430,330,10588
56,HRNC03,USHK0109,1093,USHK0109C,1532,1093,0,3,460,330,10588
57,HRNC03,USHK0109,1094,USHK0109D,1532,1094,0,4,460,330,10563
58,HRNC03,USHK0109,1095,USHK0109E,1532,1095,0,5,430,330,10563
59,HRNC03,USHK0109,1096,USHK0109F,1532,1096,0,6,460,330,10563
60,HRNC03,USHK0109,1098,USHK0109H,1532,1098,0,8,430,330,10613
61,HRNC03,USHK0115,1151,USHK0115A,1532,1151,0,1,447,330,10588
62,HRNC03,USHK0115,1152,USHK0115B,1532,1152,0,2,460,330,10588
63,HRNC03,USHK0115,1153,USHK0115C,1532,1153,0,3,447,330,10588
64,HRNC03,USHK0115,1154,USHK0115D,1532,1154,0,4,447,330,10563
65,HRNC03,USHK0115,1155,USHK0115E,1532,1155,0,5,460,330,10563
66,HRNC03,USHK0115,1156,USHK0115F,1532,1156,0,6,447,330,10563
67,HRNC03,USHK0115,1157,USHK0115G,1532,1157,0,7,447,330,10613
68,HRNC03,USHK0115,1158,USHK0115H,1532,1158,0,8,460,330,10613
69,HRNC03,USHK0115,1159,USHK0115I,1532,1159,0,9,447,330,10613
70,HRNC03,USHK0161,1611,USHK0161P,1532,1611,0,1611,430,330,2988
71,HRNC03,USHK0161,1612,USHK0161Q,1532,1612,0,1612,430,330,2988
72,HRNC03,USHK0161,1613,USHK0161R,1532,1613,0,1613,430,330,2988
73,HRNC03,USHK0163,1631,USHK0163A,1532,1631,0,1,460,330,10588
74,HRNC03,USHK0163,1632,USHK0163B,1532,1632,0,2,460,330,10588
75,HRNC03,USHK0163,1634,USHK0163D,1532,1634,0,4,460,330,10563
76,HRNC03,USHK0163,1635,USHK0163E,1532,1635,0,5,460,330,10563
77,HRNC03,USHK0171,1711,USHK0171A,1532,1711,0,1,460,330,10588
78,HRNC03,USHK0171,1712,USHK0171B,1532,1712,0,2,460,330,10588
79,HRNC03,USHK0171,1713,USHK0171C,1532,1713,0,3,460,330,10588
80,HRNC03,USHK0171,1714,USHK0171D,1532,1714,0,4,460,330,10563
81,HRNC03,USHK0171,1715,USHK0171E,1532,1715,0,5,460,330,10563
82,HRNC03,USHK0171,1716,USHK0171F,1532,1716,0,6,460,330,10563
83,HRNC03,USHK0195,1951,USHK0195A,1532,1951,0,1,460,330,10588
84,HRNC03,USHK0195,1952,USHK0195B,1532,1952,0,2,460,330,10588
85,HRNC03,USHK0195,1953,USHK0195C,1532,1953,0,3,460,330,10588
86,HRNC03,USHK0195,1954,USHK0195D,1532,1954,0,4,460,330,10563
87,HRNC03,USHK0195,1955,USHK0195E,1532,1955,0,5,460,330,10563
88,HRNC03,USHK0195,1956,USHK0195F,1532,1956,0,6,460,330,10563
89,HRNC03,USHK4838,2691,USHK4838J,1532,2691,0,11,447,330,10638
