RncId,WBTSId,name,a
1008,775,UBBK4520,RNC-1008/WBTS-775
1008,777,UBBK4870,RNC-1008/WBTS-777
1008,778,UMBS3819,RNC-1008/WBTS-778
1008,779,UBBK3173,RNC-1008/WBTS-779
1008,780,UBBK5564,RNC-1008/WBTS-780
1008,1,UBBK4807,RNC-1008/WBTS-1
1008,10,UBBK3251,RNC-1008/WBTS-10
1008,1001,UBBK4003,RNC-1008/WBTS-1001
1008,1002,UBBK0400,RNC-1008/WBTS-1002
1008,1003,UBBK3125,RNC-1008/WBTS-1003
1008,1004,UBBK5942,RNC-1008/WBTS-1004
1008,1005,UBBK2878,RNC-1008/WBTS-1005
1008,1006,UABS5567,RNC-1008/WBTS-1006
1008,1007,UBBK4320,RNC-1008/WBTS-1007
1008,1008,UBBK4168,RNC-1008/WBTS-1008
1008,1009,UBBK1694,RNC-1008/WBTS-1009
1008,1013,UBBK3103,RNC-1008/WBTS-1013
1008,1014,UBBK5288,RNC-1008/WBTS-1014
1008,1015,UBBK3249,RNC-1008/WBTS-1015
1008,1016,UBBK2666,RNC-1008/WBTS-1016
1008,1019,UBBK2110,RNC-1008/WBTS-1019
1008,1023,UBBK2927,RNC-1008/WBTS-1023
1008,1025,UBBK3604,RNC-1008/WBTS-1025
1008,1026,UBBK2923,RNC-1008/WBTS-1026
1008,1028,UBBK0314,RNC-1008/WBTS-1028
1008,1032,UBBK2915,RNC-1008/WBTS-1032
1008,1033,UBBK2909,RNC-1008/WBTS-1033
1008,1034,UBBK5395,RNC-1008/WBTS-1034
1008,1035,UBBK2905,RNC-1008/WBTS-1035
1008,1036,UBBK2903,RNC-1008/WBTS-1036
1008,1039,UBBK2913,RNC-1008/WBTS-1039
1008,1040,UBBK2911,RNC-1008/WBTS-1040
1008,1045,UBBK2907,RNC-1008/WBTS-1045
1008,1047,UBBK1286,RNC-1008/WBTS-1047
1008,1049,UBBK5752,RNC-1008/WBTS-1049
1008,1051,UBBK2931,RNC-1008/WBTS-1051
1008,1053,UBBK1130,RNC-1008/WBTS-1053
1008,1054,UBBK2599,RNC-1008/WBTS-1054
1008,1057,UBBK1360,RNC-1008/WBTS-1057
1008,1060,UBBK2539,RNC-1008/WBTS-1060
1008,1061,UBBK2995,RNC-1008/WBTS-1061
1008,1062,UBBK2963,RNC-1008/WBTS-1062
1008,1063,UBBK2537,RNC-1008/WBTS-1063
1008,1065,UBBK5978,RNC-1008/WBTS-1065
1008,1078,UBBK3058,RNC-1008/WBTS-1078
1008,1083,UBBK3460,RNC-1008/WBTS-1083
1008,1086,UBBK1066,RNC-1008/WBTS-1086
1008,1087,UBBK2890,RNC-1008/WBTS-1087
1008,1090,UABS0704,RNC-1008/WBTS-1090
1008,111,UBBK2921,RNC-1008/WBTS-111
1008,112,UBBK4326,RNC-1008/WBTS-112
1008,113,UBBK4805,RNC-1008/WBTS-113
1008,114,UBBK0073,RNC-1008/WBTS-114
1008,115,UBBK0201,RNC-1008/WBTS-115
1008,116,UBBK0833,RNC-1008/WBTS-116
1008,1162,UBBK5087,RNC-1008/WBTS-1162
1008,1178,UBBK5617,RNC-1008/WBTS-1178
1008,123,UBBK4857,RNC-1008/WBTS-123
1008,124,UBBK2445,RNC-1008/WBTS-124
1008,1284,UBBK5075,RNC-1008/WBTS-1284
1008,1286,UBBK3121,RNC-1008/WBTS-1286
1008,1289,UBBK5073,RNC-1008/WBTS-1289
1008,1293,UBBK6223,RNC-1008/WBTS-1293
1008,1296,UBBK3119,RNC-1008/WBTS-1296
1008,1299,UBBK5061,RNC-1008/WBTS-1299
1008,1300,UBBK3101,RNC-1008/WBTS-1300
1008,1301,UBBK6217,RNC-1008/WBTS-1301
1008,1303,UBBK4147,RNC-1008/WBTS-1303
1008,1306,UBBK3117,RNC-1008/WBTS-1306
1008,1309,USVN5349,RNC-1008/WBTS-1309
1008,131,UBBK3037,RNC-1008/WBTS-131
1008,1311,USVN5259,RNC-1008/WBTS-1311
1008,1312,USVN5381,RNC-1008/WBTS-1312
1008,1313,USVN2182,RNC-1008/WBTS-1313
1008,1315,UBBK4015,RNC-1008/WBTS-1315
1008,1316,USVN5951,RNC-1008/WBTS-1316
1008,1317,USVN2188,RNC-1008/WBTS-1317
1008,1319,UBBK4129,RNC-1008/WBTS-1319
1008,1320,UBBK4131,RNC-1008/WBTS-1320
1008,1321,USVN2190,RNC-1008/WBTS-1321
1008,1322,UBBK3161,RNC-1008/WBTS-1322
1008,1323,UBBK1323,RNC-1008/WBTS-1323
1008,1324,UBBK4143,RNC-1008/WBTS-1324
1008,1326,UBBK2295,RNC-1008/WBTS-1326
1008,1328,USVN2206,RNC-1008/WBTS-1328
1008,133,UBBK0133,RNC-1008/WBTS-133
1008,1330,USVN2212,RNC-1008/WBTS-1330
1008,1332,USVN4316,RNC-1008/WBTS-1332
1008,1333,UBBK4085,RNC-1008/WBTS-1333
1008,1334,USVN4322,RNC-1008/WBTS-1334
1008,1335,USVN2221,RNC-1008/WBTS-1335
